                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9647,                 3.6873,                 3.2537,                 1.3619,                0.00348,                      1,                0.30358,                0.10465,                0.00348,                      1,                0.27358,                0.11636,                 0.7487,                 1.8106,                  3.499,                 1.3956,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 0.9757,                 3.8531,                 3.2225,                 1.3661,                0.00353,                      1,                0.34402,                0.11248,                0.00353,                      1,                0.25362,                0.11498,                0.74067,                  1.471,                  3.471,                 1.3642,             0.00012224,             0.00012224,             0.00012224
                      3,                0.73382,                 2.2108,                 2.8467,                 1.2261,                0.00355,                      1,                0.32623,                 0.1856,                0.00355,                      1,                0.32623,                0.22308,                0.60138,                 1.2427,                 3.4939,                 1.2774,             0.00018025,             0.00018025,             0.00018025
                      4,                 0.7405,                 1.9637,                 2.2955,                 1.2685,                0.00347,                      1,                 0.6709,                0.41169,                0.00347,                      1,                 0.6709,                0.38816,                0.89051,                 3.6138,                 3.4171,                 1.5465,             0.00023119,             0.00023119,             0.00023119
                      5,                0.80962,                 1.8542,                 2.1031,                 1.2546,                0.00338,                      1,                0.60165,                0.35216,                0.00338,                      1,                0.60165,                0.34601,                0.81571,                 2.5194,                 3.1493,                 1.4562,             0.00027505,             0.00027505,             0.00027505
                      6,                 0.7437,                 1.7981,                 2.0156,                 1.2374,                0.00335,                      1,                0.60986,                0.36934,                0.00335,                      1,                0.60986,                0.39316,                0.79771,                 2.1902,                 2.9392,                 1.6626,             0.00031184,             0.00031184,             0.00031184
                      7,                0.71761,                 1.7817,                 1.7759,                  1.215,                 0.0034,                      1,                0.71468,                 0.4292,                 0.0034,                      1,                0.71468,                0.43773,                0.90577,                 1.6633,                 3.0309,                  1.519,             0.00034156,             0.00034156,             0.00034156
                      8,                0.70844,                 1.9153,                 1.6635,                    1.2,                0.00343,                      1,                0.65287,                0.41163,                0.00343,                      1,                0.65287,                0.47292,                 0.9289,                  1.152,                 2.9659,                 1.3921,              0.0003642,              0.0003642,              0.0003642
                      9,                0.78318,                  1.947,                 1.6881,                 1.2265,                0.71159,                    0.4,                0.63615,                 0.4102,                0.71159,                    0.4,                0.63615,                0.40761,                0.79075,                 1.4032,                 2.8142,                 1.5262,             0.00037977,             0.00037977,             0.00037977
                     10,                0.70161,                 1.6568,                  1.554,                 1.1964,                0.88178,                0.51906,                 0.6849,                0.47227,                0.88178,                0.51906,                 0.6849,                0.47595,                0.79904,                 1.0419,                 2.8657,                 1.5188,             0.00038827,             0.00038827,             0.00038827
                     11,                0.72097,                 1.5297,                 2.1606,                 1.4721,                0.72859,                 0.2319,                0.42139,                0.16456,                0.72859,                 0.2319,                0.41958,                0.25444,                 1.4728,                 1.4643,                 3.5131,                 2.3213,             0.00038969,             0.00038969,             0.00038969
                     12,                0.73888,                 1.5764,                 2.0777,                 1.5428,                  0.711,                0.19245,                0.46733,                0.25286,                  0.711,                0.19245,                0.46368,                0.29767,                 1.1221,                 1.2268,                 3.1745,                 2.1327,             0.00038404,             0.00038404,             0.00038404
                     13,                0.66897,                 1.4032,                 1.9715,                  1.375,                0.71318,                0.46667,                0.52426,                0.26146,                0.74249,                0.41548,                0.43756,                0.26589,                 1.1042,                 1.4552,                  2.933,                 2.0006,             0.00037131,             0.00037131,             0.00037131
                     14,                0.67214,                  1.412,                 1.7902,                 1.4111,                0.67686,                0.48298,                0.50591,                0.24339,                0.72205,                0.46667,                0.47695,                0.22997,                 1.2308,                 2.0108,                 3.1049,                 2.0979,             0.00035151,             0.00035151,             0.00035151
                     15,                0.65689,                 1.2895,                 1.7951,                  1.357,                0.40292,                0.56436,                0.55573,                 0.2901,                0.41282,                    0.6,                0.49833,                0.31715,                 1.1936,                 1.2412,                 3.1755,                 2.1435,             0.00032464,             0.00032464,             0.00032464
                     16,                0.64566,                 1.3347,                 1.7526,                 1.3948,                 0.4245,                 0.5475,                0.52909,                0.30473,                 0.4245,                 0.5475,                0.51754,                0.35924,                 1.1772,                 1.1364,                 3.1669,                 2.1818,             0.00029069,             0.00029069,             0.00029069
                     17,                0.60526,                 1.3429,                 1.6205,                 1.3248,                0.65199,                0.76101,                0.73065,                 0.4149,                0.65199,                0.76101,                0.73065,                0.48364,                 1.1738,                 1.0737,                  2.856,                 2.1312,             0.00024967,             0.00024967,             0.00024967
                     18,                0.58269,                 1.4836,                 1.5772,                  1.298,                0.72825,                0.73631,                0.81167,                0.45768,                0.72825,                0.73631,                0.81167,                0.55739,                 1.2003,                 0.9777,                 2.8125,                 2.2123,             0.00020158,             0.00020158,             0.00020158
                     19,                0.63481,                 1.2866,                 1.5473,                 1.4193,                0.75163,                0.67842,                0.82533,                0.46575,                0.75177,                0.67325,                0.81672,                0.57778,                 1.2023,                0.97176,                 2.8297,                 2.1472,             0.00014642,             0.00014642,             0.00014642
                     20,                0.54561,                 1.1682,                 1.5349,                 1.2561,                0.75233,                0.73313,                0.86685,                0.47837,                 0.7528,                0.72773,                0.81138,                0.58045,                 1.1766,                0.89526,                  2.753,                 2.0427,             8.4175e-05,             8.4175e-05,             8.4175e-05
